Armazéns Credenciados e Habilitados
CDA;Armazenador;Endereço;Municí­pio;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de Recepção
68.0287.0009-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. GETULIO VARGAS, N. 3.379 S/N CENTRO - 00.000-000;Currais Novos;RN;Convencional;;3500;-6.283266;-36.520484;0;12
68.0287.0016-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA JOSE LIEITE, N. 10-BAIRRO S. ANTONIO S/N Santo Antonio - 59.611-190;Mossoró;RN;Convencional;;3200;-5.17652;-37.342349;0;24
68.0287.0053-7;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. DOS CAIAPOS, N. 8200 - S/N BAIRRO CIDADE SATELITE - 59.067-400;Natal;RN;Convencional;;8800;-5.858972;-35.248091;0;12
68.0287.0054-5;COMPANHIA NACIONAL DE ABASTECIMENTO;AV JERONIMO CAMARA S/N (UC) S/N DIX SEPT ROSADO - 59.060-000;Natal;RN;Convencional;;5000;-5.824165;-35.220911;0;12
68.0287.0086-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SERRA DOS MARTINS 211 CENTRO - 59.865-000;Umarizal;RN;Convencional;;3500;-5.981463;-37.822336;0;12
69.0287.0131-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV CASTELO BRANCO 16636 incra - 76.965-870;Cacoal;RO;Convencional;ro.ua-cacoal@conab.gov.br;3500;-11.446188;-61.434125;0;60
69.0287.0132-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV CASTELO BRANCO 16636 incra - 76.965-870;Cacoal;RO;Convencional;ro.ua-cacoal@conab.gov.br;2200;-11.446188;-61.434125;0;60
69.0287.0033-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DO CAIS 172 PANAIR - 76.801-361;Porto Velho;RO;Convencional;ro.ua-portovelho@conab.gov.br;7110;-8.4448;-63.54481;0;40
75.0287.0003-3;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;3500;2.816595;-60.692835;0;9
75.0287.0013-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;1600;2.816595;-60.692835;0;9
75.0287.0014-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;2000;2.816595;-60.692835;0;9
75.0287.0018-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;1600;2.816595;-60.692835;0;9
76.0287.0237-9;Companhia Nacional de Abastecimento;Rua Santo Antonio 465 Mato Grande - 92.325-310;Canoas;RS;Convencional;RS.UF-CANOAS@CONAB.GOV.BR;16630;-29.925968;-51.193639;0;30
76.A375.0002-5;ARMAZEM DE CEREAIS FAD LTDA. ;EST RSC 101 KM 130 S/N ZONA RURAL - 95.552-000;Capivari do Sul;RS;Bateria de Silos;financeiro@fadsementes.com.br;25150;-30.16138;-50.51414;0;90
76.F435.0001-4;MILA INVESTIMENTOS E PARTICIPACOES LTDA;Rua Argentina 667 Centro - 99.700-040;Erechim;RS;Bateria de Silos;MILA@EMA.IND.BR;15480;-27.63237;-52.28209;0;200
76.8280.0003-4;CEREAIS PEGER LTDA;VILA SAO RAFAEL 4101 SEGUNDO - 97.410-000;Mata;RS;Bateria de Silos;rudinei@peger.com.br;18520;-29.569944;-54.478389;0;60
76.0420.0001-7;COOPERATIVA AGROINDUSTRIAL COOPERJA;RUA JOÃO CARLOS BENFICA 4915 VELOSO - 95.500-000;Santo Antônio da Patrulha;RS;Bateria de Silos;JULBERTO.MENDES@COOPERJA.COM.BR;95680;-29.87116;-50.51469;0;150
76.C543.0001-6;CIAGRO ALIMENTOS LTDA;ROD BR 472 KM 407,5 S/N SALA 01 S/N TREVO - 97.670-000;São Borja;RS;Bateria de Silos;CIAGRO@CIAGROALIMENTOS.COM.BR;18830;-28.68465;-55.99094;0;120
76.C543.0002-4;CIAGRO ALIMENTOS LTDA;ROD BR 472 KM 407,5 S/N SALA 01 S/N TREVO - 97.670-000;São Borja;RS;Bateria de Silos;CIAGRO@CIAGROALIMENTOS.COM.BR;36400;-28.68471;-55.98887;0;480
76.0346.0005-1;IMEMBUY ALIMENTOS AERO AGRICOLA S.A.;R MARECHAL DEODORO 52 JOSE PEREIRA ALVAREZ - 97.670-000;São Borja;RS;Bateria de Silos;IMEMBUY@IMEMBUY.COM.BR;82440;-28.6423;-56.01115;0;220
76.0397.0002-0;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;CAUL@CAUL.COM.BR;33830;-29.5897219;-56.8608575;0;250
76.0397.0004-6;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;CAUL@CAUL.COM.BR;8800;-29.5897219;-56.8608575;0;250
76.0397.0006-2;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;CAUL@CAUL.COM.BR;23070;-29.76502;-57.00533;0;250
76.0397.0008-9;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;CAUL@CAUL.COM.BR;4210;-29.96608;-57.04448;0;250
77.0287.0008-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DORIVAL DE BRITO E SILVA 62 Centro - 89.610-000;Herval d'Oeste;SC;Bateria de Silos;;4870;-27.173533;-51.499002;0;35
77.0287.0009-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DORIVAL DE BRITO E SILVA 62 Centro - 89.610-000;Herval d'Oeste;SC;Convencional;;1400;-27.173533;-51.499002;0;30
77.0287.0010-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DORIVAL DE BRITO E SILVA 62 Centro - 89.610-000;Herval d'Oeste;SC;Convencional;;900;-27.173533;-51.499002;0;30
78.0287.0002-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV WALTER FRANCO, B. CENTRO -  ITABAIANA-SE, CEP 49.500-000 382 NÃO INFORMADO - 49.500-000;Itabaiana;SE;Convencional;;3200;-10.685195;-37.434928;0;6
79.0287.0020-6;COMPANHIA NACIONAL DE ABASTECIMENTO;Rua Manoel Augusto Plantiel S/N Centro - 18.960-000;Bernardino de Campos;SP;Convencional;sp.ua-bernardino@conab.gov.br;33900;-23.008908;-49.483221;0;90
79.0287.0012-5;COMPANHIA NACIONAL DE ABASTECIMENTO;VL SALGUEIRO S/N GARCA - 17.400-000;Garça;SP;Convencional;;16200;-22.223811;-49.647068;0;30
80.0287.0013-7;COMPANHIA NACIONAL DE ABASTECIMENTO;EST DA FAZ DOS RANCHOS 02 KM 25 S/N ZONA RURAL - 77.470-000;Formoso do Araguaia;TO;Convencional;;4000;-11.88694;-49.61026;0;25
80.0287.0017-0;COMPANHIA NACIONAL DE ABASTECIMENTO;EST DA FAZ DOS RANCHOS 02 KM 25 S/N ZONA RURAL - 77.470-000;Formoso do Araguaia;TO;Bateria de Silos;;28000;-11.88624;-49.610012;0;60
